rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
2731	TIGD3	tigger transposable element derived 3	1420	9	0	0	3	0	0	0	3	2	3	9.266154e-02	1	8.140000e-01	3.130850e-01	1
2732	DRD1	dopamine receptor D1	1341	152	0	0	1	0	0	0	1	1	1	3.130932e-01	NaN	NaN	3.130932e-01	1
2733	C17orf66	chromosome 17 open reading frame 66	1769	18	0	0	1	0	0	0	1	1	1	3.131548e-01	NaN	NaN	3.131548e-01	1
2734	PRDM7	PR domain containing 7	1519	160	0	0	1	0	0	0	1	1	1	3.132270e-01	NaN	NaN	3.132270e-01	1
2735	C1orf38	chromosome 1 open reading frame 38	1954	104	0	0	1	0	0	0	1	1	1	3.132639e-01	NaN	NaN	3.132639e-01	1
2736	SERPINA4	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 4	1300	5	0	0	2	0	1	0	3	3	3	9.274343e-02	1	6.900000e-01	3.132797e-01	1
2737	TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	2645	100	0	0	1	0	0	0	1	1	1	3.133689e-01	NaN	NaN	3.133689e-01	1
2738	SLC35D3	solute carrier family 35, member D3	1255	91	0	0	1	0	0	0	1	1	1	3.134730e-01	NaN	NaN	3.134730e-01	1
2739	ZNF512	zinc finger protein 512	4260	24	0	0	0	1	0	0	1	1	1	3.134959e-01	NaN	NaN	3.134959e-01	1
2740	PABPC1L	poly(A) binding protein, cytoplasmic 1-like	1903	33	0	0	1	0	0	0	1	1	1	3.135056e-01	NaN	NaN	3.135056e-01	1
2741	ADPRHL1	ADP-ribosylhydrolase like 1	1091	8	0	0	1	0	0	0	1	1	1	3.139216e-01	NaN	NaN	3.139216e-01	1
2742	BANP	BTG3 associated nuclear protein	1663	35	0	0	0	1	0	0	1	1	1	3.140920e-01	NaN	NaN	3.140920e-01	1
2743	LRRC4B	leucine rich repeat containing 4B	2150	5	0	0	2	0	0	0	2	2	2	1.724725e-01	1	4.320000e-01	3.142103e-01	1
2744	RNASEH2B	ribonuclease H2, subunit B	1014	10	0	0	1	0	0	0	1	1	1	3.142606e-01	NaN	NaN	3.142606e-01	1
2745	KCNA10	potassium voltage-gated channel, shaker-related subfamily, member 10	1538	4	0	0	1	0	0	0	1	1	1	3.144440e-01	NaN	NaN	3.144440e-01	1
2746	AMPD3	adenosine monophosphate deaminase (isoform E)	2409	0	0	0	1	0	1	0	2	2	2	9.323493e-02	1	8.520000e-01	3.144472e-01	1
2747	PRAME	preferentially expressed antigen in melanoma	1550	2	0	0	1	0	0	0	1	1	1	3.146596e-01	NaN	NaN	3.146596e-01	1
2748	ABHD13	abhydrolase domain containing 13	1018	53	0	0	1	0	0	0	1	1	1	3.147256e-01	NaN	NaN	3.147256e-01	1
2749	OTUD7B	OTU domain containing 7B	2576	7	0	0	1	0	0	0	1	1	1	3.147885e-01	NaN	NaN	3.147885e-01	1
2750	LCLAT1	lysocardiolipin acyltransferase 1	1269	1	0	0	2	0	0	0	2	2	2	2.995716e-01	1	2.130000e-01	3.149960e-01	1
2751	GLIPR1	GLI pathogenesis-related 1 (glioma)	1077	5	0	0	1	0	0	0	1	1	1	3.150236e-01	NaN	NaN	3.150236e-01	1
2752	ENOSF1	enolase superfamily member 1	1557	161	0	0	1	0	0	0	1	1	1	3.153720e-01	NaN	NaN	3.153720e-01	1
2753	BBS10	Bardet-Biedl syndrome 10	2178	12	0	0	1	0	0	0	1	1	1	3.154658e-01	NaN	NaN	3.154658e-01	1
2754	AKAP3	A kinase (PRKA) anchor protein 3	2572	29	0	1	1	0	0	0	1	1	1	3.154991e-01	NaN	NaN	3.154991e-01	1
2755	CPN2	carboxypeptidase N, polypeptide 2	1642	1	0	0	2	0	0	0	2	2	2	1.912656e-01	1	4.890000e-01	3.155972e-01	1
2756	NOL6	nucleolar protein family 6 (RNA-associated)	3543	17	0	0	1	0	0	0	1	1	1	3.160311e-01	NaN	NaN	3.160311e-01	1
2757	KNTC1	kinetochore associated 1	6883	24	0	0	2	0	0	1	3	2	3	5.494066e-01	1	1.240000e-01	3.161376e-01	1
2758	ZNF510	zinc finger protein 510	2068	31	0	0	1	0	0	0	1	1	1	3.164438e-01	NaN	NaN	3.164438e-01	1
2759	ACIN1	apoptotic chromatin condensation inducer 1	4453	4	0	0	1	0	0	0	1	1	1	3.164930e-01	NaN	NaN	3.164930e-01	1
2760	ACPP	acid phosphatase, prostate	1320	102	0	0	1	0	0	0	1	1	1	3.165329e-01	NaN	NaN	3.165329e-01	1
2761	FZD7	frizzled homolog 7 (Drosophila)	1727	16	0	1	2	0	0	1	3	3	3	9.419083e-02	1	6.760000e-01	3.167103e-01	1
2762	C8orf79	chromosome 8 open reading frame 79	1376	17	0	0	1	0	0	0	1	1	1	3.170034e-01	NaN	NaN	3.170034e-01	1
2763	FBLIM1	filamin binding LIM protein 1	1383	65	0	0	1	0	0	0	1	1	1	3.176561e-01	NaN	NaN	3.176561e-01	1
2764	JMJD7	jumonji domain containing 7	1132	341	0	0	1	0	0	0	1	1	1	3.177542e-01	NaN	NaN	3.177542e-01	1
2765	SLC2A4	solute carrier family 2 (facilitated glucose transporter), member 4	1570	21	0	0	1	0	0	0	1	1	1	3.178465e-01	NaN	NaN	3.178465e-01	1
2766	AURKAIP1	aurora kinase A interacting protein 1	615	40	0	0	1	0	0	0	1	1	1	3.178945e-01	NaN	NaN	3.178945e-01	1
2767	ROS1	c-ros oncogene 1 , receptor tyrosine kinase	7212	0	0	0	2	0	0	0	2	2	2	4.646462e-01	1	1.390000e-01	3.181188e-01	1
2768	AAAS	achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	1703	34	0	0	0	0	1	0	1	1	1	3.181615e-01	NaN	NaN	3.181615e-01	1
2769	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	1806	2	0	0	1	0	0	0	1	1	1	3.186850e-01	NaN	NaN	3.186850e-01	1
2770	RBM23	RNA binding motif protein 23	1489	22	0	1	2	0	0	0	2	2	2	9.504910e-02	1	9.620000e-01	3.187340e-01	1
2771	YIPF4	Yip1 domain family, member 4	755	18	0	0	1	0	0	0	1	1	1	3.188145e-01	NaN	NaN	3.188145e-01	1
2772	FAM22G	family with sequence similarity 22, member G	2293	17	0	1	1	0	0	0	1	1	1	3.192540e-01	NaN	NaN	3.192540e-01	1
2773	ZRANB3	zinc finger, RAN-binding domain containing 3	3320	13	0	1	2	0	0	0	2	2	2	9.535204e-02	1	6.250000e-01	3.194464e-01	1
2774	RBM5	RNA binding motif protein 5	2544	10	0	0	0	1	0	0	1	1	1	3.195364e-01	NaN	NaN	3.195364e-01	1
2775	IPPK	inositol 1,3,4,5,6-pentakisphosphate 2-kinase	1524	37	0	0	1	0	0	0	1	1	1	3.197045e-01	NaN	NaN	3.197045e-01	1
2776	ACAT2	acetyl-Coenzyme A acetyltransferase 2	1231	33	0	0	1	0	0	0	1	1	1	3.197756e-01	NaN	NaN	3.197756e-01	1
2777	ARRB1	arrestin, beta 1	1317	103	0	1	2	0	0	0	2	2	2	9.552677e-02	1	1.270000e-01	3.198569e-01	1
2778	LGI3	leucine-rich repeat LGI family, member 3	1675	55	0	0	1	0	0	0	1	1	1	3.201091e-01	NaN	NaN	3.201091e-01	1
2779	METAP1	methionyl aminopeptidase 1	1201	15	0	0	1	0	0	0	1	1	1	3.202847e-01	NaN	NaN	3.202847e-01	1
2780	METAP2	methionyl aminopeptidase 2	1477	182	0	0	1	0	0	0	1	1	1	3.202924e-01	NaN	NaN	3.202924e-01	1
2781	EPB41L5	erythrocyte membrane protein band 4.1 like 5	2481	71	0	0	1	0	0	0	1	1	1	3.203708e-01	NaN	NaN	3.203708e-01	1
2782	GFM1	G elongation factor, mitochondrial 1	2951	41	0	0	1	0	0	0	1	1	1	3.204860e-01	NaN	NaN	3.204860e-01	1
2783	MYBBP1A	MYB binding protein (P160) 1a	4150	25	0	0	0	0	1	0	1	1	1	3.205803e-01	NaN	NaN	3.205803e-01	1
2784	SFRS4	splicing factor, arginine/serine-rich 4	1505	173	0	0	1	0	0	0	1	1	1	3.208474e-01	NaN	NaN	3.208474e-01	1
2785	ANTXR1	anthrax toxin receptor 1	1836	15	0	0	2	0	0	0	2	2	2	9.606394e-02	1	9.500000e-02	3.211169e-01	1
2786	KIAA1715	KIAA1715	1335	31	0	0	0	0	0	1	1	1	1	3.211572e-01	NaN	NaN	3.211572e-01	1
2787	C11orf41	chromosome 11 open reading frame 41	5644	28	0	1	4	0	0	0	4	4	4	9.609263e-02	1	4.580000e-01	3.211841e-01	1
2788	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2	804	117	0	0	1	0	0	0	1	1	1	3.212205e-01	NaN	NaN	3.212205e-01	1
2789	GIGYF1	GRB10 interacting GYF protein 1	3200	35	0	0	1	0	0	0	1	1	1	3.213756e-01	NaN	NaN	3.213756e-01	1
2790	ANGPT4	angiopoietin 4	1545	17	0	1	2	0	0	0	2	2	2	3.116304e-01	1	2.900000e-01	3.216551e-01	1
2791	KL	klotho	3057	10	0	0	1	0	0	0	1	1	1	3.216891e-01	NaN	NaN	3.216891e-01	1
2792	TRIOBP	TRIO and F-actin binding protein	7486	7	0	0	4	1	0	0	5	4	5	9.634425e-02	1	9.580000e-01	3.217732e-01	1
2793	PCF11	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	4728	39	0	0	2	0	0	1	3	2	3	9.641729e-02	1	7.930000e-01	3.219441e-01	1
2794	LCE3A	late cornified envelope 3A	269	11	0	0	1	0	0	0	1	1	1	3.221657e-01	NaN	NaN	3.221657e-01	1
2795	DYTN	dystrotelin	1781	46	0	0	1	1	0	0	2	2	2	9.652737e-02	1	8.880000e-01	3.222015e-01	1
2796	LAYN	layilin	1149	46	0	0	1	0	0	0	1	1	1	3.224518e-01	NaN	NaN	3.224518e-01	1
2797	LZTR1	leucine-zipper-like transcription regulator 1	2623	206	0	1	2	0	0	0	2	2	2	9.664533e-02	1	4.640000e-01	3.224772e-01	1
2798	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	1893	26	0	0	1	0	0	0	1	1	1	3.225150e-01	NaN	NaN	3.225150e-01	1
2799	KCNT1	potassium channel, subfamily T, member 1	3830	3	0	0	3	0	0	0	3	3	3	3.996083e-01	1	2.260000e-01	3.226171e-01	1
2800	KIAA1429	KIAA1429	5585	6	0	1	1	0	0	2	3	2	3	4.438782e-01	1	2.040000e-01	3.227578e-01	1
2801	TMEM132C	transmembrane protein 132C	3359	0	0	1	2	0	0	0	2	2	2	9.976634e-01	1	7.800000e-02	3.227762e-01	1
2802	GPR176	G protein-coupled receptor 176	1556	100	0	0	1	0	0	0	1	1	1	3.230357e-01	NaN	NaN	3.230357e-01	1
2803	PTPN3	protein tyrosine phosphatase, non-receptor type 3	2842	2	0	0	1	0	0	0	1	1	1	3.230663e-01	NaN	NaN	3.230663e-01	1
2804	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	854	42	0	0	1	0	0	0	1	1	1	3.230903e-01	NaN	NaN	3.230903e-01	1
2805	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	1578	55	0	0	1	1	0	0	2	2	2	9.692286e-02	1	8.980000e-01	3.231253e-01	1
2806	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	1138	3	0	0	1	0	0	0	1	1	1	3.233228e-01	NaN	NaN	3.233228e-01	1
2807	MRPL4	mitochondrial ribosomal protein L4	1019	97	0	0	1	0	0	0	1	1	1	3.233967e-01	NaN	NaN	3.233967e-01	1
2808	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	1763	33	0	0	1	0	0	0	1	1	1	3.236642e-01	NaN	NaN	3.236642e-01	1
2809	BEND3	BEN domain containing 3	2499	37	0	0	1	0	0	1	2	2	2	9.719833e-02	1	8.500000e-01	3.237678e-01	1
2810	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	2469	59	0	1	1	0	0	0	1	1	1	3.244334e-01	NaN	NaN	3.244334e-01	1
2811	C2orf76	chromosome 2 open reading frame 76	618	29	0	0	1	0	0	0	1	1	1	3.245438e-01	NaN	NaN	3.245438e-01	1
2812	BEST1	bestrophin 1	2052	5	0	0	1	0	0	0	1	1	1	3.246693e-01	NaN	NaN	3.246693e-01	1
2813	AHNAK	AHNAK nucleoprotein	17797	0	0	0	4	1	0	0	5	5	5	1.925614e-01	1	4.620000e-01	3.247699e-01	1
2814	PCGF2	polycomb group ring finger 2	1073	3	0	0	1	0	0	0	1	1	1	3.248810e-01	NaN	NaN	3.248810e-01	1
2815	SRBD1	S1 RNA binding domain 1	3066	2	0	0	1	0	0	0	1	1	1	3.250740e-01	NaN	NaN	3.250740e-01	1
2816	BST1	bone marrow stromal cell antigen 1	989	48	0	0	1	0	0	0	1	1	1	3.252032e-01	NaN	NaN	3.252032e-01	1
2817	ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	3816	15	0	0	2	0	0	0	2	2	2	9.783759e-02	1	9.470000e-01	3.252558e-01	1
2818	UPP2	uridine phosphorylase 2	1159	19	0	0	1	0	0	0	1	1	1	3.254811e-01	NaN	NaN	3.254811e-01	1
2819	ESYT3	extended synaptotagmin-like protein 3	2749	29	0	0	0	0	0	1	1	1	1	3.257412e-01	NaN	NaN	3.257412e-01	1
2820	PARP8	poly (ADP-ribose) polymerase family, member 8	2669	8	0	0	1	0	0	0	1	1	1	3.258978e-01	NaN	NaN	3.258978e-01	1
2821	GLG1	golgi apparatus protein 1	3720	13	0	0	0	0	0	1	1	1	1	3.259860e-01	NaN	NaN	3.259860e-01	1
2822	DOPEY1	dopey family member 1	7577	7	0	1	2	0	0	2	4	4	4	9.837130e-02	1	7.360000e-01	3.264950e-01	1
2823	SLC46A3	solute carrier family 46, member 3	1418	31	0	0	2	0	0	0	2	2	2	9.839750e-02	1	3.930000e-01	3.265557e-01	1
2824	SASH1	SAM and SH3 domain containing 1	3820	91	0	0	1	0	0	0	1	1	1	3.268748e-01	NaN	NaN	3.268748e-01	1
2825	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	1483	26	0	0	1	0	0	0	1	1	1	3.268981e-01	NaN	NaN	3.268981e-01	1
2826	ATXN2L	ataxin 2-like	3548	11	0	0	1	0	0	0	1	1	1	3.269995e-01	NaN	NaN	3.269995e-01	1
2827	CASP14	caspase 14, apoptosis-related cysteine peptidase	751	3	0	0	1	0	0	0	1	1	1	3.270061e-01	NaN	NaN	3.270061e-01	1
2828	UNK	unkempt homolog (Drosophila)	2725	70	0	0	1	0	0	0	1	1	1	3.272000e-01	NaN	NaN	3.272000e-01	1
2829	AURKC	aurora kinase C	964	141	0	0	1	0	0	0	1	1	1	3.272111e-01	NaN	NaN	3.272111e-01	1
2830	KAT2A	K(lysine) acetyltransferase 2A	2676	7	0	0	1	0	0	0	1	1	1	3.273355e-01	NaN	NaN	3.273355e-01	1
2831	LAMA1	laminin, alpha 1	9478	16	0	1	3	1	0	1	5	5	5	2.176357e-01	1	3.490000e-01	3.275034e-01	1
2832	C16orf3	chromosome 16 open reading frame 3	550	85	0	0	1	0	0	0	1	1	1	3.275182e-01	NaN	NaN	3.275182e-01	1
2833	KIF26B	kinesin family member 26B	6383	22	0	0	3	0	0	0	3	3	3	9.881403e-02	1	8.320000e-01	3.275206e-01	1
2834	ZNF165	zinc finger protein 165	1470	11	0	0	1	0	0	0	1	1	1	3.278064e-01	NaN	NaN	3.278064e-01	1
2835	PTCH2	patched homolog 2 (Drosophila)	3716	23	0	0	1	0	0	0	1	1	1	3.279717e-01	NaN	NaN	3.279717e-01	1
2836	FAM196A	family with sequence similarity 196, member A	1452	18	0	1	1	0	0	0	1	1	1	3.280462e-01	NaN	NaN	3.280462e-01	1
2837	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	889	115	0	0	1	0	0	0	1	1	1	3.284398e-01	NaN	NaN	3.284398e-01	1
2838	LRRIQ1	leucine-rich repeats and IQ motif containing 1	5275	32	0	2	1	0	0	1	2	2	2	7.475958e-01	1	1.310000e-01	3.289450e-01	1
2839	ZNF462	zinc finger protein 462	7569	8	0	0	1	0	0	0	1	1	1	3.289610e-01	NaN	NaN	3.289610e-01	1
2840	ZC3H6	zinc finger CCCH-type containing 6	3614	8	0	0	1	0	0	0	1	1	1	3.291424e-01	NaN	NaN	3.291424e-01	1
2841	FNDC8	fibronectin type III domain containing 8	1147	52	0	0	1	0	0	0	1	1	1	3.292189e-01	NaN	NaN	3.292189e-01	1
2842	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	3633	20	0	2	3	1	0	0	4	4	4	9.955005e-02	1	7.760000e-01	3.292215e-01	1
2843	MAB21L2	mab-21-like 2 (C. elegans)	1080	10	0	1	1	0	0	0	1	1	1	3.293260e-01	NaN	NaN	3.293260e-01	1
2844	TSC2	tuberous sclerosis 2	5591	33	0	1	1	0	0	3	4	4	4	9.962678e-02	1	9.720000e-01	3.293984e-01	1
2845	AMIGO3	adhesion molecule with Ig-like domain 3	2739	12	0	0	1	0	0	0	1	1	1	3.296739e-01	NaN	NaN	3.296739e-01	1
2846	LHFP	lipoma HMGIC fusion partner	611	14	0	0	1	0	0	0	1	1	1	3.297800e-01	NaN	NaN	3.297800e-01	1
2847	SKIV2L2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	3521	22	0	0	1	0	0	0	1	1	1	3.298734e-01	NaN	NaN	3.298734e-01	1
2848	PTGER3	prostaglandin E receptor 3 (subtype EP3)	1482	15	0	0	2	0	0	0	2	2	2	1.715628e-01	1	4.750000e-01	3.299120e-01	1
2849	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	3471	19	0	0	1	0	0	0	1	1	1	3.300689e-01	NaN	NaN	3.300689e-01	1
2850	FEZF2	FEZ family zinc finger 2	1396	57	0	0	1	0	0	0	1	1	1	3.301832e-01	NaN	NaN	3.301832e-01	1
2851	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	3999	16	0	0	3	0	0	0	3	3	3	9.997877e-02	1	7.750000e-01	3.302096e-01	1
2852	NUP188	nucleoporin 188kDa	7006	4	0	0	0	0	0	1	1	1	1	3.302345e-01	NaN	NaN	3.302345e-01	1
2853	NHEJ1	nonhomologous end-joining factor 1	1496	102	0	0	1	0	0	0	1	1	1	3.303509e-01	NaN	NaN	3.303509e-01	1
2854	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	1071	66	0	0	1	0	0	0	1	1	1	3.304498e-01	NaN	NaN	3.304498e-01	1
2855	KRT73	keratin 73	1657	111	0	0	1	0	0	0	1	1	1	3.304813e-01	NaN	NaN	3.304813e-01	1
2856	CHRNB4	cholinergic receptor, nicotinic, beta 4	1517	62	0	0	2	0	0	0	2	2	2	1.001269e-01	1	6.440000e-01	3.305507e-01	1
2857	IFNA14	interferon, alpha 14	572	4	0	0	1	0	0	0	1	1	1	3.305521e-01	NaN	NaN	3.305521e-01	1
2858	PCSK4	proprotein convertase subtilisin/kexin type 4	2326	4	0	0	1	0	1	0	2	2	2	1.001711e-01	1	9.910000e-01	3.306524e-01	1
2859	SLC16A5	solute carrier family 16, member 5 (monocarboxylic acid transporter 6)	1538	75	0	0	1	0	0	0	1	1	1	3.306650e-01	NaN	NaN	3.306650e-01	1
2860	MAPKBP1	mitogen-activated protein kinase binding protein 1	4665	10	0	0	1	0	0	0	1	1	1	3.307064e-01	NaN	NaN	3.307064e-01	1
2861	CSNK1A1L	casein kinase 1, alpha 1-like	1014	81	0	0	1	0	0	0	1	1	1	3.307266e-01	NaN	NaN	3.307266e-01	1
2862	ATP13A2	ATPase type 13A2	3893	5	0	1	2	0	1	0	3	3	3	2.507795e-01	1	2.960000e-01	3.309759e-01	1
2863	THRAP3	thyroid hormone receptor associated protein 3	2908	33	0	0	1	0	0	0	1	1	1	3.311046e-01	NaN	NaN	3.311046e-01	1
2864	SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	1499	58	0	0	1	0	0	0	1	1	1	3.312130e-01	NaN	NaN	3.312130e-01	1
2865	SPTBN5	spectrin, beta, non-erythrocytic 5	11184	36	0	1	2	0	1	1	4	4	4	2.018296e-01	1	3.620000e-01	3.314341e-01	1
2866	PMS1	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	3019	34	0	0	1	0	0	1	2	2	2	1.005445e-01	1	7.760000e-01	3.315108e-01	1
2867	CPVL	carboxypeptidase, vitellogenic-like	1479	4	0	0	1	0	0	0	1	1	1	3.316008e-01	NaN	NaN	3.316008e-01	1
2868	CWC25	CWC25 spliceosome-associated protein homolog (S. cerevisiae)	1314	2	0	0	1	0	0	0	1	1	1	3.317787e-01	NaN	NaN	3.317787e-01	1
2869	ZNF189	zinc finger protein 189	1963	8	0	0	2	0	0	0	2	2	2	1.006953e-01	1	7.160000e-01	3.318572e-01	1
2870	ODZ4	odz, odd Oz/ten-m homolog 4 (Drosophila)	8430	5	0	0	5	0	0	1	6	6	6	2.195096e-01	1	4.180000e-01	3.319939e-01	1
2871	SEZ6	seizure related 6 homolog (mouse)	3062	34	0	0	1	1	0	1	3	2	3	1.007837e-01	1	8.070000e-01	3.320599e-01	1
2872	C14orf43	chromosome 14 open reading frame 43	3178	8	0	0	1	0	0	0	1	1	1	3.322194e-01	NaN	NaN	3.322194e-01	1
2873	ZNF407	zinc finger protein 407	6903	5	0	0	2	0	0	0	2	2	2	2.916526e-01	1	2.360000e-01	3.323539e-01	1
2874	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	3583	32	1	1	1	1	0	0	2	2	2	1.009478e-01	1	3.060000e-01	3.324364e-01	1
2875	FHOD3	formin homology 2 domain containing 3	4418	53	0	0	1	0	0	0	1	1	1	3.324555e-01	NaN	NaN	3.324555e-01	1
2876	ITPRIPL2	inositol 1,4,5-trisphosphate receptor interacting protein-like 2	1608	54	0	0	2	0	0	0	2	2	2	1.009680e-01	1	7.740000e-01	3.324828e-01	1
2877	RHOBTB1	Rho-related BTB domain containing 1	2127	22	0	0	1	0	0	0	1	1	1	3.325194e-01	NaN	NaN	3.325194e-01	1
2878	ZFP36L2	zinc finger protein 36, C3H type-like 2	1489	28	0	0	0	0	0	1	1	1	1	3.325244e-01	NaN	NaN	3.325244e-01	1
2879	C10orf25	chromosome 10 open reading frame 25	994	14	0	0	1	0	0	0	1	1	1	3.325334e-01	NaN	NaN	3.325334e-01	1
2880	MYL6	myosin, light chain 6, alkali, smooth muscle and non-muscle	803	220	0	0	1	0	0	0	1	1	1	3.329022e-01	NaN	NaN	3.329022e-01	1
2881	EPB49	erythrocyte membrane protein band 4.9 (dematin)	1281	61	0	0	1	0	0	0	1	1	1	3.330136e-01	NaN	NaN	3.330136e-01	1
2882	ALPP	alkaline phosphatase, placental (Regan isozyme)	1648	24	0	0	2	0	0	0	2	2	2	1.012501e-01	1	9.810000e-01	3.331293e-01	1
2883	FAM108A1	family with sequence similarity 108, member A1	1102	0	0	9	3	0	0	0	3	2	2	1.000000e+00	1	1.160000e-02	3.332435e-01	1
2884	TRERF1	transcriptional regulating factor 1	3655	24	0	0	2	0	0	0	2	2	2	1.013284e-01	1	9.910000e-01	3.333085e-01	1
2885	ZNF846	zinc finger protein 846	1622	34	0	0	1	0	0	0	1	1	1	3.334434e-01	NaN	NaN	3.334434e-01	1
2886	KCNN1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	1668	7	0	0	1	0	0	0	1	1	1	3.334612e-01	NaN	NaN	3.334612e-01	1
2887	CATSPER1	cation channel, sperm associated 1	2387	41	0	0	1	0	0	0	1	1	1	3.335595e-01	NaN	NaN	3.335595e-01	1
2888	KIF9	kinesin family member 9	2503	166	0	0	1	0	0	0	1	1	1	3.337663e-01	NaN	NaN	3.337663e-01	1
2889	P2RX1	purinergic receptor P2X, ligand-gated ion channel, 1	1244	13	0	0	1	0	0	0	1	1	1	3.340109e-01	NaN	NaN	3.340109e-01	1
2890	KLHL6	kelch-like 6 (Drosophila)	1892	4	0	0	2	0	0	0	2	2	2	1.016484e-01	1	5.030000e-01	3.340405e-01	1
2891	LINGO2	leucine rich repeat and Ig domain containing 2	1825	5	0	0	1	1	0	0	2	2	2	1.016857e-01	1	2.590000e-01	3.341258e-01	1
2892	ADRM1	adhesion regulating molecule 1	1261	5	0	0	1	0	0	0	1	1	1	3.342021e-01	NaN	NaN	3.342021e-01	1
2893	HS3ST6	heparan sulfate (glucosamine) 3-O-sulfotransferase 6	940	192	0	0	1	0	0	0	1	1	1	3.342546e-01	NaN	NaN	3.342546e-01	1
2894	PPP3R2	protein phosphatase 3 (formerly 2B), regulatory subunit B, beta isoform	524	88	0	0	2	0	0	0	2	2	2	1.017574e-01	1	6.610000e-01	3.342898e-01	1
2895	SELE	selectin E (endothelial adhesion molecule 1)	1885	1	1	1	2	0	0	0	2	2	2	9.252978e-01	1	3.500000e-02	3.343477e-01	1
2896	OTOP1	otopetrin 1	1861	12	0	1	2	0	0	0	2	2	2	1.019055e-01	1	9.040000e-01	3.346281e-01	1
2897	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	3625	16	0	0	1	0	0	0	1	1	1	3.347114e-01	NaN	NaN	3.347114e-01	1
2898	RNF17	ring finger protein 17	5014	43	0	0	3	0	0	0	3	3	3	5.699410e-01	1	1.460000e-01	3.348882e-01	1
2899	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	811	69	0	0	1	0	0	0	1	1	1	3.349322e-01	NaN	NaN	3.349322e-01	1
2900	NDST1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	2701	39	0	0	1	0	0	0	1	1	1	3.351099e-01	NaN	NaN	3.351099e-01	1
2901	ZNF268	zinc finger protein 268	1110	19	0	0	1	0	0	0	1	1	1	3.352917e-01	NaN	NaN	3.352917e-01	1
2902	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	1056	55	0	0	1	0	0	0	1	1	1	3.357365e-01	NaN	NaN	3.357365e-01	1
2903	KIAA0430	KIAA0430	5336	32	0	1	0	0	0	2	2	2	2	1.023923e-01	1	8.150000e-01	3.357386e-01	1
2904	POM121	POM121 membrane glycoprotein (rat)	2999	5	0	0	1	0	0	0	1	1	1	3.358916e-01	NaN	NaN	3.358916e-01	1
2905	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	889	16	0	0	1	0	0	0	1	1	1	3.361585e-01	NaN	NaN	3.361585e-01	1
2906	HTR3C	5-hydroxytryptamine (serotonin) receptor 3, family member C	1378	84	0	0	1	0	0	0	1	1	1	3.361852e-01	NaN	NaN	3.361852e-01	1
2907	AVL9	AVL9 homolog (S. cerevisiase)	2007	11	0	0	1	0	0	0	1	1	1	3.362359e-01	NaN	NaN	3.362359e-01	1
2908	C19orf21	chromosome 19 open reading frame 21	2056	11	0	0	1	0	0	0	1	1	1	3.363287e-01	NaN	NaN	3.363287e-01	1
2909	TCF4	transcription factor 4	2092	8	0	0	2	0	0	0	2	2	2	1.026545e-01	1	7.850000e-01	3.363358e-01	1
2910	PHB2	prohibitin 2	1066	125	0	0	1	0	0	0	1	1	1	3.364191e-01	NaN	NaN	3.364191e-01	1
2911	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	5187	28	0	1	1	0	0	0	1	1	1	3.365828e-01	NaN	NaN	3.365828e-01	1
2912	EGFL8	EGF-like-domain, multiple 8	1116	53	0	0	1	0	0	0	1	1	1	3.366165e-01	NaN	NaN	3.366165e-01	1
